,Tweets,Locations,Polarity,lenght
250,gadkari dda illegal dda land grabbing of dda land by below mentioned person near by proposed Kalindi by pass by breaking dda wall and opening gate towards the dda land immediate action needed,,-1,191
251,i applied for dda stenographer hindi with ews category but now in written result it shows UR Please rectify this dda,Bikaner India,0,116
252,dda grivence no 2020013056 is submitted to honable lg office to save illegal grabbing of dda by breaking dda wall and opening gates towards the mentioned land lots of complaints made to dda officers but no action,,-1,212
253,dda This matter is under sh ashok kumar Dir hort South east,,0,59
254,dda OFFICIAL Ideally this should be cleaned on daily basics Sadly this is the truth of delhi administration After repeated complaints no action yet,Shimla India Delhi,1,147
255,dda OFFICIAL It s been a week no action has been taken yet Could you advise how much time will this take,Shimla India Delhi,1,104
256,Some center street lights are not working on main dwarka mor road to dwarka sec 6 road opp to Nsit collage dda,Dwarka Delhi,-1,110
257,Dear Inform why FIR has not been registered by Delhi Police so far against scamster corrupt DDA officials even after 8 months on request made by CVO of dda Ref PE F 27 06 19 Vig AVO 12 863 Dt 19 06 2020 to SHO Kotla MubarakPur ND,New Delhi,-1,229
258,dda I wonder how MCD official conveniently state in LG Post complaint 2020010044 ENCROACHMENT REMOVED Is it revenue gain to DDA,DELHI,-1,127
259,Dear amp Pl inform why a FIR has not been registered by Delhi Police so far against scamster corrupt DDA officials even after 8 months on request made by CVO of dda Ref PE F 27 06 19 Vig AVO 12 863 Dt 19 06 2020 to SHO Kotla Mubarak Pur ND,New Delhi,-1,239
260,dda India CBI Pl inform why corrupt scamster J P Agarwal of dda amp 3 others those were caught red handed by CBI on 04 04 2018 have not been convicted even after 34 months Ref CBI registered FIR No RC DAI 2018 A 0013 Dt 04 04 2018,New Delhi,-1,230
261, MLAgk When things are so messed up then it,,0,43
262,Dear Please inform why a FIR has not been registered by Delhi Police so far agnst scamster corrupt DDA officials even after 8 months on request made by CVO of dda Ref PE F 27 06 19 Vig AVO 12 863 Dt 19 06 2020 to SHO Kotla Mubarak Pur ND,New Delhi,-1,237
263,mcd We are extremely sorry for this experience We shall look into the matter and make sure you don t have to go through this again Going further please register all encroachment related complaints on the DDA311 app,New Delhi India,0,214
264,mcd The issue has been duly noted and forwarded to the concerned department,New Delhi India,0,75
265,The issue has been duly noted and forwarded to the concerned department,New Delhi India,0,71
266,dda mcd DDA LIG FLATS PKT G amp H Sector B 2 Narela North West Delhi Landmark Near Shani Mandir Delhi PIN 110040 M 7982353611 dda We will be so much thankful to you in this,,1,172
267,Have dda and prepared list of pending ground rents and property taxes since last 6 years Most ppl don t submit the taxes India gadkari,,1,134
268,dda I submit a grievance on lg listening post grivenc no 2020009922 on 5 10 20 regarding the illegally grabbing the dda by breaking dda wall but it s to know nothing has been done by concern offices in matter lglisteningpost,,-1,224
269,MLAgk dda There s no mess all the provisions are already there made during tenure of ji They just have to be implemented as they did in case of Old Double Storey What they did after 3 years of sealing could have been done before,Kasturba Nagar Vidhan Sabha,1,228
270,It will be really helpful if you could share your complaint in detail so that we can lodge your complaint with the concerned department,New Delhi India,-1,135
271,MLAgk When things are so messed up then it is best to resolve it by using LOGIC and try to keep it SIMPLE dda thanks for ur support but plz ask some to act Logically its a request,,1,179
272,OFFICIAL dda Complaint pertains to DDA CPCB kindly forward to concern deptt,New Delhi India,1,75
273,dda my society collects and deposit ground rent for all the flats every year with DDA why at the time of conversion of flat DDA asks money again and that too with penalty,,-1,170
274,dda 1 Appointment Link inaccessible 2 Appointment Link at blocked,DELHI,0,65
275,dda dda RESPECTED SIR IT S BEEN A WEEK NO ACTION TAKEN I WILL REMIND YOU DAILY BUT AS I SEE NOT GETTING ANY RESPONSE I HOPE YOU WILL TAKE ACTION ASAP WE ARE VERY THANKFUL IF YOU TAKE ACTION,Tilak Nagar New Delhi,1,189
276,dda can you plz tell the error percentage allowed for general and reserved category in the JSA typing test to be conducted on 16 Feb As it is not mentioned in official notification again,,1,186
277, MLAgk Supreme Court Very clear that sealing should not have taken,New Delhi India,1,66
278, MLAgk Supreme Court Very clear that sealing should not have taken,,1,66
279, According to SC SHOP Plots sealing was wrong,,-1,45
280,MLAgk Supreme Court Very clear that sealing should not have taken place dda,,1,75
281,According to SC SHOP Plots sealing was wrong dda,,-1,48
282,DDA MPD2041 what s next Mixed Language Mess version 2 dda India,New Delhi India,-1,63
283,MIRAE SON DONGPYO FIGHTING,she her,0,26
284, dda sir I want to know my score in DDA SO HOICULTURE my roll number is 12390700002 according to ur answ,,0,104
285,These Poles are of DDA and maintenance of Streetlights on DDA Roads are with BSES India Kindly confirm whether Streetlights are with EESL or BSES dda Also request kindly confirm who will rectify these Streetlights installed by DDA,New Delhi India,1,230
286,the only part i can do in the sugar dance challenge is the walk out part SugarDanceChallenge KIMWOOSEOK official,she her,0,112
287,official okay will do tiktok too,she her,1,32
288, KWS 210204 M Countdown Kim Wooseok Sugar Stage 2 The song and the choreography are so good So proud of Wooseok,,1,111
289,Official Hopefully action will be taken soon by concern authorities Official dda,,1,80
290, Sir Supply of Hard underground water in newly built DDA flats under DDA housing scheme 2019 at Vasant Kunj is making,,-1,117
291, dda respected sir thank you for listening to our problems regarding the new typing rules isn t it too harsh and,,-1,112
292,EESL SDMC representative already visited the Site and confirm these Streetlights are not belongs to EESL SDMC Pls don t send a Standard reply without checking with yr concerned Officials Kindly ask yr Officials to visit the Site and confirm accordingly dda,New Delhi India,1,256
293,Streetlights on the Service Lane along with Boundary Wall of Sargodha Apartment PLOT NO 13 SECTOR 7 DWARKA Pole No 45 TO 50 not working for couple of months As per EESL SDMC Streetlights are not belongs to them Kindly rectify these streetlights dda,New Delhi India,1,248
294,b pollution dda I was pointing out for the dangerous height of the building and still not in the list of the website of the booked building Why Two plots1 building of so called D 14 233 234 pair combined Sector 3 Rohini Delhi 110085 Civil Society wanted to see in the booked properties,,-1,285
295,dda Raised a complain regarding property repair on DDA 311 app but no action has been taken yet,,-1,95
296, b pollution TUNTUN dda The said shops in the stil,,0,50
297,dda How students will come for typing test who lives near by singhu or tikri border because of ongoing farmer protest Both borders are closed and there is internet shutdown also,,0,177
298, MCOUNTDOWN On Air official KIMWOOSEOK Sugar Watch Now,she her,0,54
299, KWS 210204 M Countdown Kim Wooseok Sugar Stage 1 The song and the choreography are so good So proud of Wooseok,,1,111
300,pollution TUNTUN dda The said shops in the stilt parking were sealed on the direction of Monitoring Committee the same has been conveyed to Monitoring Committee accordingly at present these shops are sealed,,0,206
301,dda Contact numbers are not functional No technical support is working writing mails to ddatechhscare org in but no response Please help in technical support,,0,157
302, MCOUNTDOWN On Air official KIMWOOSEOK Sugar Watch Now,,0,54
303,dda Thanks for your prompt response Appreciated,,1,47
304,The issue has been duly noted and forwarded to the concerned department,New Delhi India,0,71
305,its a request to to pay the salary of cleaning workers All the roads are filthy forget about the sanitized homes and roads shame ton you dda,Delhi India,-1,140
306, dda Sir DDA has conducted computer based exam for the post of Stenographer But there is only one hindi typing,MAINPURI U P,0,110
307,dda Oh please we already see how you manage public hearing reopening,New Delhi India,0,68
308, Please battery don t fail me now I need to watch his first stage KIMWOOSEOK 2ND DESIRE TASTY official,,-1,102
309, KIMWOOSEOKCOMEBACKSTAGE Sugar SugarOnStage official,,0,52
310,dda Please follow the typing rules of SSC which conducts typing each year for LDC posts,Jaipur India,0,87
311, official KIMWOOSEOKCOMEBACKSTAGE Sugar SugarOnStage official,,0,61
312, official cant wait Sugar SugarOnStage official,,0,47
313, KIMWOOSEOKCOMEBACKSTAGE Sugar SugarOnStage official,,0,52
314,OFFICIAL dda As reported by JE the site has been inspected and found that repair work is carried out by the owner at ground floor,,0,129
315,dda Fwd Request To Your Kind Self Please Accept Our Application Of Allotment Of This Said Plot In DDA PDR Rates Basis Policy Ref No PMOPG E 2021 0036715,,1,152
316, shot Sugar TASTY YOU GOT THE BEST OF ME SugarOnStage YOU GOT IT ALL KIMWOOSEOK Official 2ND DESIRE,,1,99
317, three KIMWOOSEOKCOMEBACKSTAGE Sugar TASTY SugarOnStage official,,0,64
318, KIMWOOSEOKCOMEBACKSTAGE Sugar TASTY SugarOnStage official,,0,58
319, KIMWOOSEOKCOMEBACKSTAGE Sugar TASTY SugarOnStage official,,0,58
320, 2eunsang KIMWOOSEOKCOMEBACKSTAGE Sugar TASTY SugarOnStage official,,0,67
321, KIMWOOSEOKCOMEBACKSTAGE Sugar TASTY SugarOnStage official,,0,58
322, KIMWOOSEOKCOMEBACKSTAGE Sugar TASTY SugarOnStage official,,0,58
323, SugarComebackstage Sugar TASTY 6pmMcountdownonstage SugarOnStage SoSweetSoTastyComeback official,,0,97
324, KIMWOOSEOKCOMEBACKSTAGE Sugar TASTY SugarOnStage KIMWOOSEOK official,,0,69
325, KIMWOOSEOKCOMEBACKSTAGE Sugar TASTY SugarOnStage official,,0,58
326, 2eunsang KIMWOOSEOKCOMEBACKSTAGE Sugar TASTY SugarOnStage official,,0,67
327, KIMWOOSEOKCOMEBACKSTAGE Sugar TASTY SugarOnStage official,,0,58
328, ethereal Hope You can enjoy your first stage In a long time and be careful Sugar TASTY SugarOnStage KIMWOOSEOK,,1,111
329, KIMWOOSEOKCOMEBACKSTAGE Sugar TASTY SugarOnStage official,,0,58
330, Hastagnya ganti yahh KIMWOOSEOKCOMEBACKSTAGE Sugar TASTY SugarOnStage official,,0,79
331, official love you baby Sugar TASTY SugarOnStage,,1,48
332, Makes everyone fall inlove in your charm official Sugar TASTY SugarOnStage,,0,75
333,dda India sahibsingh IND We have applied under PM UDAY to get the ownership right of our property on 20 05 2020 now the processing centre is saying the application is not reflecting on PC portal PC 107 Case ID is PM UDAY CASE 21052020063327 1,,1,242
334,dda We have applied under PM UDAY to get the ownership right of our property on 20 05 2020 now the processing centre is saying the application is not reflecting on PC portal PC 107 Case ID is PM UDAY CASE 21052020063327 1,,1,221
335, I love Sugar but can t wait to hear the rest of the songs too 6 SUGAR KimWooseok Sugar OnStage official,,1,104
336, dda Officia,Tilak Nagar New Delhi,0,12
337, SUGAR COMEBACK STAGE HASHTAG PAY Join us as we celebrate with a hashtag party for Wooseok s Sugar comeback stage on,,0,116
338, get a guy who can do both KIM WOOSEOK 6 SUGAR COMEBACK KimWooseok Sugar OnStage SUGAR SOTY official,,0,100
339,OFFICIAL dda Please take necessary action,,1,41
340,dda learnt from newspapers that you are coming up with draft master plan 2041 for public view by 15 Hope through this document you have removed the wrongly imposed OZONE tag from Jaitpur meethapur amp hrinagar wards of badarpur,,-1,227
341, dda Respected Sir Madam When will result of Dda Stenographer come Please answer,,0,80
342,dda Respected Sir Madam When will result of Dda Stenographer come Please answer,,0,79
343,dda Is any plan to decongest DdaDwarkaFlyover,,0,45
344,The issue has been duly noted and forwarded to the concerned department,New Delhi India,0,71
345, Myanmar Thank you so much Myanmar Nias We closed the discount event as 50 albums are already sold out It s a big achievement,,1,125
346, Myanmar Thank you so much Myanmar Nias We closed the discount event as 50 albums are already sold out It s a big achievement,w96c Don t crop my credit w96c,1,125
347,dda This drainage need immediate repair but despite given several reminders to DDA Manglapuri it was not addressed since last 1 yr R we waiting for some mishappening Schools are reopening tomorrow,New Delhi,0,196
348,Proud to be a part of help for official 2ND DESIRE TASTY KIMWOOSEOK,,1,67
349,dda OFFICIAL Director Delhi Development Authority Sir These sign boards which signify Dwarka Sector 7 Dada Dev Palam have been malfunctioning for a long time which should B taken into consideration by the department and work quickly to rectify this defect,,1,255
350, Myanmar Thank you so much Myanmar Nias We closed the discount event as 50 albums are already sold out It s a big achievement,,1,125
351, Myanmar Thank you so much Myanmar Nias We closed the discount event as 50 albums are already sold out It s a big achievement,worldwide,1,125
352,Thank you so much Myanmar Nias We closed the discount event as 50 albums are already sold out It s a big achievement Thank you so much dda amp for working hard at supporting official 2ND DESIRE TASTY KIMWOOSEOK,Myanmar,1,210
353,I strongly support to save restore and revive this urban water body Dwarka is one of the planned Sub City of DDA planning also involves conservation and restoration of water bodies underground water table going deteriorated yr after yr Official dda,India,1,248
354,OFFICIAL dda Complaint pertains to DDA CPCB please forward to concern department,New Delhi India,-1,80
355,dda Comp No 2021000961 rgstrd on LG LISTENING via V found DDA s pipeline drain is absent amp chocked around Pkt 3 Sec 21 Rohini DDA officials know this fact but unresolved for years Pls lay new pipeline drains AJAY GUPTA Org Sect RWA Pkt3 Sec21 Rohini Mob 9540930095,,1,266
356, I m excited about today s stage official KIMWOOSEOK 2ND DESIRE TASTY Sugar,she her,1,75
357,Ino1 Rig Veda kun AmandaPllease Official sugarsparkle Faulki vegian Fire emblem todos Final fantasy 7 Nier automata Castlevania symphony of the night Zelda breath of the wild Sekiro DDA,,1,185
358,dda dda IPS JUST A REMINDER MSG TO ALL RESPECTED GOVT OFFICIAL SENIOR MY COMPLAINT IS STILL PENDING THINGS ARE SAME AND WE SUFFERED,Tilak Nagar New Delhi,-1,131
359,Check out the official Pratt DDA Commons website The commons website is a wonderful place to find all kinds of useful resources this semester This includes things like department contact information announcements and much more prattinstitute dda,Brooklyn NY,1,245
360,dda kindly reply on below doubt,,1,31
361, Trimming of trees are required in area opp to NSIT collage dwarka mor sulahkul mandir road as branches of tree stop s,New Delhi India,0,118
362,Day126 Look the IRONY we hv been writing constantly to for no water supply in Delhi but till date no action is taken Where as chadha is gone with water tanker Delhi border dda,New Delhi India,-1,175
363,Day126 Look the IRONY we hv been writing constantly to for no water supply in Delhi but till date no action is taken Where as chadha is gone with water tanker Delhi border dda,New Delhi India,-1,175
364,Day126 Look the IRONY we hv been complaining amp writing constantly to for no water supply in Delhi but till date no action is taken Where as chadha is gone with water tanker Delhi border dda,New Delhi India,-1,191
365,Day126 Look the IRONY we hv been complaining amp writing constantly to for no water supply in Delhi but till date no action is taken Where as chadha is gone with water tanker Delhi border dda,New Delhi India,-1,191
366, dda sir I want to know my score in DDA SO HOICULTURE my roll number is 12390700002 according to ur answ,Madhubani Bihar,0,104
367,dda Sir those students who are not shortlisted for the document verification for the post sectional horticulture will DDA reveal score who are not selected,,0,155
368,dda Thanks dda,mehruli new delhi,1,14
369,dda Sir DDA has conducted computer based exam for the post of Stenographer But there is only one hindi typing layout known as Remington Gail There are a number of typing fonts in Hindi Sir Please provide at least all mangal font keyboard layouts,MAINPURI U P,-1,245
370,The issue has been duly noted and forwarded to the concerned department,New Delhi India,0,71
371,mcd It will be really helpful if you could send us the exact location of the complaint so that we can lodge your complaint with the concerned department,New Delhi India,-1,152
372,dda sir I want to know my score in DDA SO HOICULTURE my roll number is 12390700002 according to ur answer key my score is 73 45 but provisionally not shortlisted and one of my friend score 73 09 roll no 16420700798 got shortlisted so clearify my score,,0,251
373,The issue has been duly noted and forwarded to the concerned department,New Delhi India,0,71
374,dda this is the area near fountain in japanese park rohini where kids do skating,,1,80
375,dda Khasra no 218 laddha sarai and khasra no 869 870 mehrauli this land is under DDA but due to negligence the park is going under anti social people base please make a park in khasra 218 laddha sarai khasra no 869 870 Mehrauli,mehruli new delhi,-1,227
376,It will be really helpful if you could share your complaint in detail so that we can lodge your complaint with the concerned department,New Delhi India,-1,135
377, shot Talk To Woo KIMWOOSEOK Official 2ND DESIRE TASTY,she her,0,54
378,What is the reason that dda cant make park in Khasra no 218 Laddha Sarai and Khasra no 869 870 Mehrauli Due to the negligence of DDA anti social people have made it their base,mehruli new delhi,-1,175
379,dda The Owner Of This Building Barat Barar Also make A Illegally Basement In this Building I lodged so many complaints against this culprit but none take action,New Delhi India,1,160
380,dda Thanks Just wanted to know if DDA had launched penthouses and super HIG as advertised in Feb 2020 as in Mar lockdown started In 2021 I can t see those options,India,1,162
381,It will be really helpful if you could share your complaint in detail so that we can lodge your complaint with the concerned department,New Delhi India,-1,135
382, WE THANK THE HON CJI TO UNDERSTAND OUR PAIN AND also of UNDEANDING OF THE MATTER at hand dda,New Delhi India,0,93
383,DDA recruitment department plz have look on date which u were mention in this DDA dda,New Delhi India,0,85
384,dda why there is noone at DDA customer care who can tell about what happened to housing 2020 penthouses and super hig,India,1,117
385,We are extremely sorry for this experience We shall look into the matter and make sure you don t have to go through this again Going further please register all encroachment related complaints on the DDA311 app,New Delhi India,0,210
386,It will be really helpful if you could send us the exact location of the complaint so that we can lodge your complaint with the concerned department,New Delhi India,-1,148
387,OFFICIAL dda This vacant land is DDA CPCP kindly forward this complaint to DDA,New Delhi India,1,78
388,The issue has been duly noted and forwarded to the concerned department,New Delhi India,0,71
389,Garhwali The issue has been duly noted and forwarded to the concerned department,New Delhi India,0,80
390,dda how many days prior to skill test you will announce shortlisted candidates for stenographer exam please respond,Palam New Delhi,1,115
391, WE THANK THE HON CJI TO UNDERSTAND OUR PAIN AND also of UNDEANDING OF THE MATTER at hand dda,New Delhi India,0,93
392,This Building Is Illegally Constructed And This Is Very Dangerous To Nearby Buildings And People Who Live Around I Request Authoritys To Take Strict Against This dda,New Delhi India,-1,165
393, WE THANK THE HON CJI TO UNDERSTAND OUR PAIN AND also of UNDEANDING OF THE MATTER at hand dda,Rajouri Garden New Delhi,0,93
394,dda i am a allotee of rohini residential scheme 1981 and i have completed all payment and have been given the letter of office possesion but i am waiting for the lease deed to be executed My number is 8800933001,,0,211
395, WE THANK THE HON CJI TO UNDERSTAND OUR PAIN AND also of UNDEANDING OF THE MATTER at hand dda,,0,93
396, dda hindu,,0,10
397,dda hindu Thanks a lot to Hon CJI,,1,33
398, WE THANK THE HON CJI TO UNDERSTAND OUR PAIN AND also of UNDEANDING OF THE MATTER at hand dda,,0,93
399, WE THANK THE HON CJI TO UNDERSTAND OUR PAIN AND also of UNDEANDING OF THE MATTER at hand dda,,0,93
400, dda Dear Sir I am one of the SO horticulture aspirant Kindly clarify me that how you people calculated cutoff th,,1,113
401,dda Please mention no of students attended in each shift for SO horticulture and their individual marks And shifts highest marks,,0,128
402,WE THANK THE HON CJI TO UNDERSTAND OUR PAIN AND also of UNDEANDING OF THE MATTER at hand dda,,0,92
403,dda Dear Sir I am one of the SO horticulture aspirant Kindly clarify me that how you people calculated cutoff through normalization Because 1 st shift paper is too easy second shift paper is too tough And nearly 10 questions are wrong in 2 nd shift,,1,248
404, dda sir the formula of JSA typing is totally unfair if I type 2200 keystroke in 10 minutes and unfortunately,,-1,109
405,dda respected sir thank you for listening to our problems regarding the new typing rules isn t it too harsh and difficult for candidates to multiply error by 10 DDA JSA,,-1,168
406,In the past I have directly complaint on Lg s listening post regarding dda but no action was taken by the assigned officers Unfortunately you are the chairman of DDA,,-1,165
407,chadha Dear sir plz change my pipeline because the delhi jal board has been damaged my water pipeline and i have to temporarily basis to connect to pipeline and it breaks again and again plz solve my problem Deepak vihar Vikas nagar dda,New Delhi India,0,236
408,dda Why the DDA Housing Scheme 2014 Login has been removed,New Delhi India,0,58
409,dda Pls do the needful,Paschim Vihar New Delhi,0,22
410,The bench has directed dda to not allow any new construction repeat areal survey at regular interval and remove or demolish any authorised construction in case found,New Delhi India,1,165
411,pollution iima NareshYadav OFFICIAL The issue has been duly noted We will keep you updated,New Delhi India,0,90
412, Join our webinar india,Jaipur,0,23
413, Join our webinar india,New Delhi India,0,23
414, Join our webinar india,Kolkata India,0,23
415,dda This is so unfair asking for 100 accuracy at 35wpm Every other exam allows 5 relaxation this is so unfair,,-1,109
416,pollution OFFICIAL The concerned Complaint relates to NMCD Issue will be taken up with NMCD,New Delhi India,-1,91
417,It will be really helpful if you could share your complaint in detail so that we can lodge your complaint with the concerned department,New Delhi India,-1,135
418,dda sir the formula of JSA typing is totally unfair if I type 2200 keystroke in 10 minutes and unfortunately my 10 words are wrong typed then speed will be 34 wpm which is totally unfair becoz u count mistake 2 per word not key strokes plz clear it,Sawai Madhopur India,-1,248
419,dda sahibsingh Hope for early action,Dwarka Delhi,1,36
420,OFFICIAL aap pollution Dpt The issue has been duly noted We will keep you updated,New Delhi India,0,81
421,dda my file number is F16 14668 2012 RHN and i am waiting for lease deed execution,,0,82
422,ggc dda India MoHUA Without basic amenities how can peoples will live there No water no electricity Poles without wire no road no safety,,1,136
423,dda India MoHUA west Delhi new sectors need attention This is poor condition,India,-1,76
424,dda Please take action against the complaint received at CPCB and update Complaint ID CPCBTW 10370,New Delhi India,-1,98
425,aap pollution Dpt dda Please take action against the complaint received at CPCB and update Complaint ID CPCBTW 10369,New Delhi India,-1,116
426,Encroachment is increasing in EastDelhi with no action from Civic authorities DDA says it s PWD PWD says it s MCD and MCD says it s Delhi Govt Can we have some accountability dda,New Delhi,-1,178
427,dda India PMUDAY MoHUA Dear Sir s Your urgent intervene is required immediately on this long due issue,new delhi,-1,102
428,dda pollution NareshYadav OFFICIAL Yamuna Apartments Sector D Pocket 6 Vasant Kunj New Delhi 110070 DDA contractor is doing girt wash work for all the towers in Yamuna,Delhi,1,167
429, Sir Supply of Hard underground water in newly built DDA flats under DDA housing scheme 2019 at Vasant Kunj is making,,-1,117
430,dda Letter Received from DDA DDA File No PMOPG E 2021 0036715 Your mail dated 2 02 2021 has been forwarded to the Commissioner LD branch for taking necessary action OSD To VC DDA Please Accept Our Application Of Allotment Jai HIND,,1,230
431,The issue has been duly noted and forwarded to the concerned department,New Delhi India,0,71
432,pollution iima NareshYadav OFFICIAL It will be really helpful if you could send us the exact location of the complaint so that we can lodge your complaint with the concerned department,New Delhi India,-1,184
433,OFFICIAL The issue has been duly noted We will keep you updated,New Delhi India,0,63
434,It will be really helpful if you could send us the exact location of the complaint so that we can lodge your complaint with the concerned department,New Delhi India,-1,148
435, India 82,,0,9
436,dda publish Result for SO Horti,,0,31
437,dda Sir Ma am Will the space key be counted as a keystroke in typing test which is to be held on 16 02 2021,,0,107
438,dda kindly look into the matter,India Delhi,1,31
439,aap OFFICIAL pollution Dpt Complaint pertains to DDA OFFICIAL,PWD HeadQuater ITO,-1,61
440,iima NareshYadav OFFICIAL dda dda Kindly take necessary action and upload ATR,New Delhi India,1,77
441,iima NareshYadav pollution The issue has been duly noted and forwarded to the concerned department,New Delhi India,0,98
442,sahibsingh The issue has been duly noted and forwarded to the concerned department,New Delhi India,0,82
443,OFFICIAL dda Small gali complaints not pertains to PWD Delhi OFFICIAL,PWD HeadQuater ITO,-1,69
444,dda dda Please take action against the complaint received at CPCB and update Complaint ID CPCBTW 10366,New Delhi India,-1,102
445,dda In japanese park proper sanitation is not maintained kindly look into it,,1,76
446, Sir Supply of Hard underground water in newly built DDA flats under DDA housing scheme 2019 at Vasant Kunj is making,New Delhi India,-1,117
447, Sir Supply of Hard underground water in newly built DDA flats under DDA housing scheme 2019 at Vasant Kunj is making,,-1,117
448, Sir Supply of Hard underground water in newly built DDA flats under DDA housing scheme 2019 at Vasant Kunj is making,,-1,117
449,Dear NareshYadav DDA is undertaking extremely noisy 100 150 dB drilling work in our society Yamuna D 6 Vasant Kunj since 3 weeks now Inhuman and impossible to live in such condition pollution OFFICIAL dda,Delhi,-1,204
450, Sir Supply of Hard underground water in newly built DDA flats under DDA housing scheme 2019 at Vasant Kunj is making,Rae Bareli,-1,117
451, Calling all Nias FLASH SALE FOR GENIE PASS To help more Nias stream Sugar I will be offering different genie pass,,1,114
452, Trimming of trees are required in area opp to NSIT collage dwarka mor sulahkul mandir road as branches of tree stop s,New Delhi India,0,118
453,Trimming of trees are required in area opp to NSIT collage dwarka mor sulahkul mandir road as branches of tree stop street light to scattering dda sahibsingh,Dwarka Delhi,1,157
454, Sir Supply of Hard underground water in newly built DDA flats under DDA housing scheme 2019 at Vasant Kunj is making,India,-1,117
455, Announce all post dda results dda,,0,34
456,Announce all post dda result 2020 dda,New Delhi,0,37
457,Dear elected representives NareshYadav and is undertaking extremely noisy 100 150 dB drilling work in our society Yamuna D 6 Vasant Kunj since 3 weeks now Inhuman and impossible to live in such condition pollution dda,Delhi,-1,217
458, India 82,Gujarat India,0,9
459,Sir Supply of Hard underground water in newly built DDA flats under DDA housing scheme 2019 at Vasant Kunj is making severe damage to our skin and hair Need immediate attention from authorities PMOIndia djb official dda,,-1,219
460,dda Hundreds of flats allotted under NPRS 1979 are not deposited instalments If online method is devised to search pending instalments and penalty people will deposit the money,,0,176
461, dda dda NO ACTION TAKEN UNAUTHORIZED CONSTRUCTION FIRST FLOOR SHOP NUMBER 86 2,Tilak Nagar New Delhi,1,79
462, Calling all Nias FLASH SALE FOR GENIE PASS To help more Nias stream Sugar I will be offering different genie pass,Kim Wooseok supremacy,1,114
463,India 82 dda Requesting to india to accept revenue oriented direction of Highcourt amp issue guidlines to accept revenue from the Trade amp industry they r ready to pay 3972 Cr against Svldrs3 SIMPLY ISSUE ONE LINE ORDER SabkaSaathSabkaVikas,,1,241
464, Announce all post dda results dda,,0,34
465, Announce all post dda result 2020 official,,0,43
466, dda announce announce result at the earliest Student s patience is wearing thin Exams were con,,-1,95
467,dda please reply regarding dda JSA stage 3 typing test to be held on 16 Feb 2021 I want to know if candidates are allowed to bring their own keyboard since last time the center provided malfunction keyboard for test held on 21 Dec 2020,,1,235
468,dda regarding dda JSA stage 3 typing test to be held on 16 Feb 2021 I want to know if candidates are allowed to bring their own keyboard since last time the center provided malfunction keyboard for test held on 21 Dec 2020,,1,222
469,dda regarding dda JSA stage 3 typing test to be held on 16 Feb 2021 I want to know if candidates are allowed to bring their own keyboard since last time the center provided malfunction keyboard for test held on 21 Dec 2020,,1,222
470,dda regarding dda JSA stage 3 typing test to be held on 16 Feb 2021 I want to know if candidates are allowed to bring their own keyboard since last time the center provided malfunction keyboard for test held on 21 Dec 2020,,1,222
471,dda dda regarding dda JSA stage 3 typing test to be held on 16 Feb 2021 I want to know if candidates are allowed to bring their own keyboard since last time the center provided malfunction keyboard for test held on 21 Dec 2020,,1,226
472,dda dda please reply regarding dda JSA stage 3 typing test I want to know if candidates are allowed to bring their keyboards since last time the keyboard provided was not working,,0,178
473,dda OFFICIAL Hope this will be taken care,Shimla India Delhi,0,41
474, India 82,Munger India,0,9
475,We regret the inconvenience caused to you over the delay in addressing your issue The concerned department will act to resolve the matter at the earliest,New Delhi India,0,153
476,It will be really helpful if you could share your complaint in detail so that we can lodge your complaint with the concerned department,New Delhi India,-1,135
477, India 82,,0,9
478,facts gadkari sahibsingh The issue has been duly noted and forwarded to the concerned department,New Delhi India,0,96
479,dda no response to the earlier query raise for cheap construction material used in signature view apartment life is at stake Roof is falling on our heads Will have to move out of the house to save our families life Please help us,,1,229
480,dda announce announce result at the earliest Student s patience is wearing thin Exams were conducted three months ago And results are still awaited This is your so called digital india Release the result at the earliest,Datia India,-1,219
481, India 82,,0,9
482,dda MeitY Govt should think for SALARIED CLASS Employees,delhi india,0,56
483,OFFICIAL We are extremely sorry for this experience We shall look into the matter and make sure you don t have to go through this again Going further please register all encroachment related complaints on the DDA311 app,New Delhi India,0,219
484,facts gadkari sahibsingh It will be really helpful if you could send us the exact location of the complaint so that we can lodge your complaint with the concerned department,New Delhi India,-1,173
485,Dear dda Please clear this Will 1 Wrong Word will be counted as 10 Wrong Words,New Delhi India,-1,78
486, kandola dda sir please tell me When will be the result of DDA Section Officer declared,Haryana India,0,87
487,We request you to follow us so that we can Direct Message you regarding your concern,New Delhi India,1,84
488, shot Kim Wooseok Music Show Schedule this week 2 4 Thursday MNET M Countdown 2 5 Friday KBS Music Bank 2 6 Saturday MBC,she her,0,120
489,dda Name Rajkumari soni Pan no DFBPS2670H For applying DDA Awas yojna Manglapuri Dwarka 51 Dear sir I want to change my payment type option Sir I made mistake I choose offline option but I want to pay online payment type option pls solve,,0,237
490,OFFICIAL We are extremely sorry for this experience We shall look into the matter and make sure you don t have to go through this again Going further please register all encroachment related complaints on the DDA311 app,New Delhi India,0,219
491,India The issue has been duly noted and forwarded to the concerned department,New Delhi India,0,77
492, Condition of Roads of Metro Apartment DDA Flats Jahangir puri Delhi 33 dda mcd,,0,79
493, OFFICIAL dda pollution This Radha Krishna,,0,42
494, OFFICIAL dda after repeated,,0,28
