,Tweets,Locations,Polarity,lenght
52,dda Condition of the road is same again Why authorities take action after tweet if sweeping of roads is continuous process Please do the needful ASAP,,1,149
53, webinar on Construction amp Demolition Waste Management Rules 2016 Provisions amp Implementation on 15 02 21 at 11 00,,-1,118
54, webinar on Construction amp Demolition Waste Management Rules 2016 Provisions amp Implementation on 15 02 21 at 11 00,Noida,-1,118
55, webinar on Construction amp Demolition Waste Management Rules 2016 Provisions amp Implementation on 15 02 21 at 11 00,Delhi India Bhubaneswar,-1,118
56, webinar on Construction amp Demolition Waste Management Rules 2016 Provisions amp Implementation on 15 02 21 at 11 00,,-1,118
57, webinar on Construction amp Demolition Waste Management Rules 2016 Provisions amp Implementation on 15 02 21 at 11 00,,-1,118
58, webinar on Construction amp Demolition Waste Management Rules 2016 Provisions amp Implementation on 15 02 21 at 11 00,New Delhi India,-1,118
59,dda Bond b h isme,,0,17
60,dda recruitment cell is requested to please shift postpone or prepone the stenographer skill date exam as stenographer skill n UDC is on the same date 21feb Sir we r alrdy short of employment opportunities in these times,,0,220
61, webinar on Construction amp Demolition Waste Management Rules 2016 Provisions amp Implementation on 15 02 21 at 11 00,,-1,118
62, webinar on Construction amp Demolition Waste Management Rules 2016 Provisions amp Implementation on 15 02 21 at 11 00,New Delhi,-1,118
63,webinar on Construction amp Demolition Waste Management Rules 2016 Provisions amp Implementation on 15 02 21 at 11 00 AM Register HUDA GMDA DDA construction building dda Monday,India,-1,176
64,dda can anyone tell why this interest rule Why people were not allowed to pay at start only why this high interest against prevailing interest rate and why this short notice to pay the amount,,1,191
65,Dpt pollution OFFICIAL Official Agmut dda MoHUA Your complaint is forwarded to DCP Dwarka Distt,Vasant vihar Dcp office,-1,95
66,dnwm official ill resteal it then xD,Mars,-1,36
67,dda I have been alloted a flat in 2016 for the DDA draw of 2014 10 money was to be given after 5 years means in 2021 amp no interest was payable First communion received after 5 years from DDA asking for interest penalty of 81826 Why this Need urgent resolution,,1,261
68,Shook official i stole that meme too somewhere in my TL so,she her,0,58
69,singh02 It will be really helpful if you could share your complaint in detail so that we can lodge your complaint with the concerned department,New Delhi India,-1,143
70,We are extremely sorry for this experience We shall look into the matter and make sure you don t have to go through this again Going further please register all encroachment related complaints on the DDA311 app,New Delhi India,0,210
71,We are extremely sorry for this experience We shall look into the matter and make sure you don t have to go through this again Going further please register all encroachment related complaints on the DDA311 app,New Delhi India,0,210
72,look at that big babie SUGAR MV OUT NOW KIMWOOSEOK official,she her,0,59
73,baby squeezing a plushie with his pretty hands and sporting a cute pout SUGAR MV OUT NOW KIMWOOSEOK official,she her,1,108
74,wooseok s visuals are out of this world nobody is THIS beautiful except him SUGAR MV OUT NOW KIMWOOSEOK official,she her,1,112
75,every frame is screenshot worthy every frame is an art SUGAR MV OUT NOW KIMWOOSEOK official,she her,1,91
76,goddamn i would seriously fite anyone who will argue with me WOOSEOK IS INDEED THE MOST BEAUTIFUL PERSON EVER KIMWOOSEOK official,she her,1,129
77,dda Please do check on encroachments creating havoc in DDA SFS Flats sector 7 and sector 8 Jasola Storm water drains have been covered and choked creating breeding ground for pests and mosquitoes Mini gardens and personal spaces are being created to gobble space,,0,262
78,dda Yes DDA result should be review by DDA authority,,0,52
